,Project,Genre,Duration,ABRSM
1,Bach - Invention 1,Baroque,1600,5
2,Bach - Invention 4 in Dm,Baroque,1240,5
3,Bach - Marche 127,Baroque,364,2
4,Bach - Minuet - G - 114,Baroque,232,1
5,Bach - Minuet 116,Baroque,507,1
6,Bach - Minuet in Gm - 115,Baroque,410,1
7,Bach - Prelude in Cm - 934,Baroque,1497,5
9,Bach - Prelude in G from Cello Suite No 1,Baroque,1484,5
10,C. Hartmann - The little ballerina,Romantic,1264,6
11,Chopin - Contredanse in Gb,Romantic,1375,6
12,Chopin - Waltz in Am,Romantic,1567,4
13,Chopin - Waltz in Fm,Romantic,1645,6
15,Clementi - Sonatina no 3 - Mov 1,Classical,1772,4
16,Clementi - Sonatina no 3 - Mov 2,Classical,187,1
17,Clementi - Sonatina no 3 - Mov 3,Classical,1220,4
19,Elton John - Rocket man,Modern,2791,7
20,Elton John - Your song (Arr Cornick),Modern,2141,5
22,Georg Böhm - Minuet in G,Baroque,391,1
24,Haydn - Andante in A,Classical,2342,5
25,Ibert - Sérénade sur l’eau,Modern,623,6
26,Kuhlau - Rondo Vivace,Classical,1444,6
27,Mozart - Allegro (3rd movement) K282,Classical,1564,6
28,Poulenc - Valse Tyrolienne,Modern,1008,5
31,Schumann - Kinderszenen 1,Romantic,592,5
32,Schumann - Lalling Melody,Romantic,278,1
33,Schumann - Melody,Romantic,244,1
34,Schumann - Remembrance,Romantic,2043,5
35,Schumann - Träumerei,Romantic,852,7
36,Schumann - Volksliedchen,Romantic,585,2
37,Scott Joplin + Jingle Bells mashup,Modern,956,6
